from,to,,
iw,adoct1415,skipper,
iw,ador1112,skipper,
iw,gd0809,skipper,
iw,UK,,
ak,adoct1415,crew,
ak,ARE,,
al,ador1112,crew,
al,adoct1415,crew,
al,US,,
bam,adoct1415,crew,
bam,ARE,,
cs,adoct1415,crew,
cs,ador1112,crew,
cs,por0809,crew,
cs,NZ,,
jsa,ador1112,crew,
jsa,adoct1415,crew,
jsa,UK,,
jf,por1112,crew,
jf,adoct1415,crew,
jf,tan1718,crew,
jf,por0809,crew,
jf,NZ,,
js,adoct1415,crew,
js,ador1112,crew,
js,gd0809,crew,
js,IR,,
nd,ta1415,crew,
nd,tvhr1718,crew,
nd,US,,
rg,ador1112,crew,
rg,tm1415,crew,
rg,tm1718,crew,
rg,por0809,crew,
rg,UK,,
sf,ador1112,crew,
sf,adoct1415,crew,
sf,tvhr1718,crew,
sf,tblu0809,crew,
sf,11th2223,crew,
sf,UK,,
wm,ador1112,crew,
wm,adoct1415,crew,
wm,NZ,,
bb,tb1415,skipper,
bb,tb1718,skipper,
bb,tblu0809,skipper,
bb,NLD,,
jd,tb1415,crew,
jd,tb1718,skipper,
jd,e30809,crew,
jd,DNK,,
ac,t1112,crew,
ac,tb1415,crew,
ac,tb1718,crew,
ac,por0809,crew,
ac,AUS,,
lb,tb1415,crew,
lb,tb1718,crew,
lb,BEL,,
pb,tb1415,crew,
pb,tb1718,crew,
pb,NZ,,
kl,tb1415,crew,
kl,tb1718,crew,
kl,AUS,,
jm,tb1415,crew,
jm,tb1718,crew,
jm,ARG,,
ch,tb1415,crew,
ch,tb1718,crew,
ch,NLD,,
rk,tb1415,crew,
rk,tb1718,crew,
rk,US,,
sn,tb1415,crew,
sn,tb1718,crew,
sn,AUS,,
nc,tb1415,crew,
nc,tb1718,crew,
nc,AUS,,
cc,g41112,crew,
cc,drt1415,skipper,
cc,td1718,skipper,
cc,FRA,,
sb,td1718,crew,
sb,ta1415,crew,
sb,cwetnz1112,crew,
sb,e40809,crew,
sb,NZ,,
cb,td1718,crew,
cb,tsca1415,crew,
cb,NLD,,
jme,td1718,crew,
jme,tsca1415,crew,
jme,11th2223,crew,
jme,CH,,
mr,drt1415,crew,
mr,td1718,crew,
mr,br2223,crew,
mr,FRA,,
jb,drt1415,crew,
jb,td1718,crew,
jb,FRA,,
pbi,drt1415,crew,
pbi,td1718,crew,
pbi,FRA,,
cj,drt1415,crew,
cj,td1718,crew,
cj,CHN,,
ke,drt1415,crew,
ke,td1718,crew,
ke,hprb2223,crew,
ke,FRA,,
dw,cwetnz1112,crew,
dw,drt1415,crew,
dw,td1718,crew,
dw,tblu0809,crew,
dw,NZ,,
fd,drt1415,crew,
fd,td1718,crew,
fd,hprb2223,crew,
fd,FRA,,
fc,drt1415,crew,
fc,td1718,crew,
fc,g41112,skipper,
fc,FRA,,
lx,drt1415,crew,
lx,td1718,crew,
lx,CHN,,
jbo,drt1415,crew,
jbo,td1718,crew,
jbo,11th2223,crew,
jbo,AUS,,
xf,t1112,crew,
xf,tm1415,skipper,
xf,tm1718,skipper,
xf,tblu0809,skipper,
xf,ESP,,
wa,tm1415,crew,
wa,tm1718,crew,
wa,ESP,,
ls,tm1415,crew,
ls,tm1718,crew,
ls,NZ,,
sc,tsca1415,crew,
sc,tm1718,crew,
sc,US,,
sc,AUS,,
pa,t1112,crew,
pa,tm1415,crew,
pa,tm1718,crew,
pa,tblu0809,crew,
pa,ESP,,
bt,tm1415,crew,
bt,tm1718,crew,
bt,NZ,,
jv,tm1415,crew,
jv,tm1718,crew,
jv,ESP,,
te,tm1415,crew,
te,tm1718,crew,
te,ESP,,
acu,t1112,crew,
acu,tm1415,crew,
acu,tm1718,crew,
acu,tbla0809,crew,
acu,ESP,,
sd,tsca1415,skipper,
sd,UK,,
lg,tsca1415,crew,
lg,tshks1718,crew,
lg,UK,,
ae,tsca1415,crew,
ae,tb1718,crew,
ae,hprb2223,crew,
ae,UK,,
alu,tsca1415,crew,
alu,tb1718,crew,
alu,11th2223,crew,
alu,UK,,
ejm,tsca1415,crew,
ejm,ttttop1718,crew,
ejm,FRA,,
lw,tsca1415,crew,
lw,ttttop1718,crew,
lw,AUS,,
sba,tsca1415,crew,
sba,tb1718,crew,
sba,US,,
sj,tsca1415,crew,
sj,tvhr1718,crew,
sj,AUS,,
dc,tsca1415,crew,
dc,ttttop1718,crew,
dc,UK,,
sh,tsca1415,crew,
sh,US,,
