from,to
iw,Abu Dhabi Ocean Racing Team 14/15
iw,UK
ak,Abu Dhabi Ocean Racing Team 14/15
ak,ARE
al,Abu Dhabi Ocean Racing Team 14/15
al,US
bam,Abu Dhabi Ocean Racing Team 14/15
bam,ARE
cs,Abu Dhabi Ocean Racing Team 14/15
cs,NZ
jsa,Abu Dhabi Ocean Racing Team 14/15
jsa,UK
jf,Abu Dhabi Ocean Racing Team 14/15
jf,AkzoNobel 17/18
jf,NZ
js,Abu Dhabi Ocean Racing Team 14/15
js,IR
nd,Team Alvimedica 14/15
nd,Vestas 11th hour racing 17/18
nd,US
pw,Abu Dhabi Ocean Racing Team 14/15
pw,ZAF
rg,Abu Dhabi Ocean Racing Team 14/15
rg,UK
sf,Abu Dhabi Ocean Racing Team 14/15
sf,Vestas 11th hour racing 17/18
sf,UK
wm,Abu Dhabi Ocean Racing Team 14/15
wm,NZ
bb,"Team Brunel 14/15, Team Brunel 17/18"
bb,NLD
jd,"Team Brunel 14/15, Team Brunel 17/18"
jd,DNK
ac,"Team Brunel 14/15, Team Brunel 17/18"
ac,AUS
lb,"Team Brunel 14/15, Team Brunel 17/18"
lb,BEL
pb,"Team Brunel 14/15, Team Brunel 17/18"
pb,NZ
kl,"Team Brunel 14/15, Team Brunel 17/18"
kl,AUS
jm,"Team Brunel 14/15, Team Brunel 17/18"
jm,ARG
ch,"Team Brunel 14/15, Team Brunel 17/18"
ch,NLD
rk,"Team Brunel 14/15, Team Brunel 17/18"
rk,US
sn,"Team Brunel 14/15, Team Brunel 17/18"
sn,AUS
nc,"Team Brunel 14/15, Team Brunel 17/18"
nc,AUS
cc,Dongfeng Race Team 14/15
cc,Dongfeng 17/18
cc,FRA
sb,Team Alvimedica 14/15
sb,Team Dongfeng 17/18
sb,NZ
cb,Team Dongfeng 17/18
cb,Team SCA 14/15
cb,NLD
jm,Team Dongfeng 17/18
jm,Team SCA 14/15
jm,CH
mr,Dongfeng Race Team 14/15
mr,Team Dongfeng 17/18
mr,FRA
jb,Dongfeng Race Team 14/15
jb,Team Dongfeng 17/18
jb,FRA
pbi,Dongfeng Race Team 14/15
pbi,Team Dongfeng 17/18
pbi,FRA
cj,Dongfeng Race Team 14/15
cj,Team Dongfeng 17/18
cj,CHN
ke,Dongfeng Race Team 14/15
ke,Team Dongfeng 17/18
ke,FRA
dw,Dongfeng Race Team 14/15
dw,Team Dongfeng 17/18
dw,NZ
fd,Dongfeng Race Team 14/15
fd,Team Dongfeng 17/18
fd,FRA
fc,Dongfeng Race Team 14/15
fc,Team Dongfeng 17/18
fc,FRA
lx,Dongfeng Race Team 14/15
lx,Team Dongfeng 17/18
lx,CHN
jbo,Dongfeng Race Team 14/15
jbo,Team Dongfeng 17/18
jbo,AUS
xf,Team Mapfre 14/15
xf,Team Mapfre 17/18
xf,ESP
wa,Team Mapfre 14/15
wa,Team Mapfre 17/18
wa,ESP
ls,Team Mapfre 14/15
ls,Team Mapfre 17/18
ls,NZ
sc,Team SCA 14/15
sc,Team Mapfre 17/18
sc,US
sc,AUS
pa,Team Mapfre 14/15
pa,Team Mapfre 17/18
pa,ESP
bt,Team Mapfre 14/15
bt,Team Mapfre 17/18
bt,NZ
jv,Team Mapfre 14/15
jv,Team Mapfre 17/18
