id,sailor,nationality,sex (m/w/d),type
iw,Ian Walker,UK,m,1
ak,Adil Khalid,ARE,m,1
al,Andrew Lewis,US,m,1
bam,Butti Al Muhairi,ARE,m,1
cs,Craig Satterthwaite,NZ,m,1
jsa,Julian Salter,UK,m,1
jf,Justin Ferris,NZ,m,1
js,Justin Slattery,IR,m,1
nd,Nick Dana,US,m,1
rg,Robert Greenhalgh,UK,m,1
sf,Simon Fisher,UK,m,1
wm,Wade Morgan,NZ,m,1
bb,Bouwe Bekking,NLD,m,1
jd,Jens Dolmer,DNK,m,1
ac,Andrew Cape,AUS,m,1
lb,Louis Balcaen,BEL,m,1
pb,Peter Burling,NZ,m,1
kl,Kyle Langford,AUS,m,1
jm,Juanpa Marcos,ARG,m,1
chu,Carlo Huisman,NLD,m,1
rk,Rome Kirby,US,m,1
sn,Sam Newton,AUS,m,1
nc,Nina Curtis,AUS,w,1
cc,Charles Caudrelier,FRA,m,1
sb,Stuard Bannatyne,NZ,m,1
cb,Carolijn Brouwer,NLD,w,1
jme,Justine Mettraux,CH,w,1
mr,Marie Riou,FRA,w,1
jb,Jérémie Beyou,FRA,m,1
pbi,Pascal Bidégorry,FRA,m,1
cj,Chen Jinhao 'Horace',CHN,m,1
ke,Kevin Escoffier,FRA,m,1
dw,Daryl Wislang,NZ,m,1
fd,Fabien Delahaye,FRA,m,1
fc,Franck Cammas,FRA,m,1
lx,Liu Xue 'Black',CHN,m,1
jbo,Jack Bouttell,AUS,m,1
xf,Xabier Fernandez,ESP,m,1
wa,Willy Altadill,ESP,m,1
ls,Louis Sinclair,NZ,m,1
sc,Sophie Ciszek,AUS/US,w,1
pa,Pablo Arrarte,ESP,m,1
bt,Blair Tuke,NZ,m,1
jv,Juan Vila,ESP,m,1
te,Támara Echegoyen,ESP,w,1
acu,Antonio 'Ñeti' Cuervas-Mons,ESP,m,1
sd,Samantha Davies,UK,w,1
lg,Libby Greenhalgh,UK,w,1
ae,Abby Ehler,UK,w,1
alu,Annie Lush,UK,w,1
ejm,Elodie-Jane Mettraux,FRA,w,1
lw,Liz Wardley,PG/AUS,w,1
sba,Sally Barkow,US,w,1
sj,Stacey Jackson,AUS,w,1
dc,Dee Caffari,UK,w,1
sh,Sara Hastreiter,US,w,1
ce,Charlie Enright,US,m,1
mt,Mark Towill,US,m,1
wo,Will Oxley,AUS,m,1
abo,Alberto Bolzan,IT,m,1
rh,Ryan Houston,NZ,m,1
ds,David Swete,NZ,m,1
cn,Chris Nicholson,AUS,m,1
ns,Nicolai Sehested,DNK,m,1
pwi,Peter Wibroe,DNK,m,1
tr,Tony Rae,NZ,m,1
st ,Simeon Tienpont,NLD,m,1
ta,Tom Addis,AUS,m,1
rs,Robert Salthouse,NZ,m,1
tj ,Tom Johnson,AUS,m,1
wv ,Wouter Verbraak,NLD,m,1
mc,Maciel Cicchetti,ARG,m,1
bf,Brad Farrand,NZ,m,1
lm,Luke Molloy,AUS,m,1
mg,Martine Grael,BR,w,1
en,Emily Nagel,BM,w,1
rmo,Rosco Monson,UK,m,1
pvn,Peter van Niekerk,NLD,m,1
ape,Álex Pella,ESP,m,1
cl,Cécile Laguette,FRA,w,1
tro,Thomas Rouxel,NLD,m,1
dwi,David Witt,AUS,m,1
lp,Luke Parkinson,AUS,m,1
bp,Ben Piggott,AUS,m,1
sha,Steve Hayles,UK,m,1
jfi,John Fisher,UK,m,1
ag,Alex Gough,AUS,m,1
abe,Annemieke Bes,NLD,w,1
tc,Tom Clout,AUS,m,1
af,António Fontes,PT,m,1
gw,Grant Wharington,AUS,m,1
ts,Trystan Seal,UK,m,1
maj,Marcus Ashley Jones,AUS,m,1
tb,Tom Braidwood,AUS,m,1
pc,Peter Cumming,UK,m,1
jma,Jack Macartney,AUS,m,1
am,Annalise Murphy,IR,w,1
bmo,Bleddyn Mon,UK,m,1
fcl,Francesca Clapcich,IT,w,1
bfr,Bernardo Freitas,PT,m,1
hb,crew member,UK,m,1
lc,Lucas Chapman,AUS,m,1
fpdm,Frederico Pinheiro de Melo,PT,m,1
bc,Bianca Cook,NZ,w,1
ms,Martin Strömberg,SE,m,1
brth,Brian Thompson,UK,m,1
nl,Nicolas Lunven,FRA,m,1
df,Damian Foxall,IR,m,1
ph,Phil Harmer,AUS,m,1
tmu,Tony Mutter,NZ,m,1
jmh,Jena Mai Hansen,DNK,w,1
hd,Hannah Diamond,UK,w,1
rbdc,Roberto 'Chuny' Bermúdez de Castro,ESP,m,1
