id,name,nationality,culture,sex,position,type,winner
iw,Ian Walker,UK,1,1,1,1,0
ak,Adil Khalid,ARE,4,1,2,1,0
al,Andrew Lewis,US,1,1,2,1,0
bam,Butti Al Muhairi,ARE,4,1,2,1,0
cs,Craig Satterthwaite,NZ,1,1,2,1,0
jsa,Julian Salter,UK,1,1,2,1,0
jf,Justin Ferris,NZ,1,1,2,1,0
js,Justin Slattery,IR,1,1,2,1,0
nd,Nick Dana,US,1,1,2,1,0
rg,Robert Greenhalgh,UK,1,1,2,1,0
sf,Simon Fisher,UK,1,1,2,1,0
wm,Wade Morgan,NZ,1,1,2,1,0
bb,Bouwe Bekking,NLD,1,1,1,1,0
jd,Jens Dolmer,DNK,1,1,1,1,0
ac,Andrew Cape,AUS,1,1,2,1,0
lb,Louis Balcaen,BEL,4,1,2,1,0
pb,Peter Burling,NZ,1,1,2,1,0
kl,Kyle Langford,AUS,1,1,2,1,0
jm,Juanpa Marcos,ARG,3,1,2,1,0
chu,Carlo Huisman,NLD,1,1,2,1,0
rk,Rome Kirby,US,1,1,2,1,0
sn,Sam Newton,AUS,1,1,2,1,0
nc,Nina Curtis,AUS,1,2,2,1,0
cc,Charles Caudrelier,FRA,4,1,1,1,0
sb,Stuard Bannatyne,NZ,1,1,2,1,0
cb,Carolijn Brouwer,NLD,1,2,2,1,0
jme,Justine Mettraux,CH,4,2,2,1,0
mr,Marie Riou,FRA,4,2,2,1,0
jb,Jérémie Beyou,FRA,4,1,2,1,0
pbi,Pascal Bidégorry,FRA,4,1,2,1,0
cj,Chen Jinhao 'Horace',CHN,2,1,2,1,0
ke,Kevin Escoffier,FRA,4,1,2,1,0
dw,Daryl Wislang,NZ,1,1,2,1,0
fd,Fabien Delahaye,FRA,4,1,2,1,0
fc,Franck Cammas,FRA,4,1,1,1,0
lx,Liu Xue 'Black',CHN,2,1,2,1,0
jbo,Jack Bouttell,AUS,1,1,2,1,0
xf,Xabier Fernandez,ESP,4,1,1,1,0
wa,Willy Altadill,ESP,4,1,2,1,0
ls,Louis Sinclair,NZ,1,1,2,1,0
sc,Sophie Ciszek,AUS,1,2,2,1,0
pa,Pablo Arrarte,ESP,4,1,2,1,0
bt,Blair Tuke,NZ,1,2,2,1,0
jv,Juan Vila,ESP,4,1,2,1,0
te,Támara Echegoyen,ESP,4,2,2,1,0
acu,Antonio 'Ñeti' Cuervas-Mons,ESP,4,1,2,1,0
sd,Samantha Davies,UK,1,2,1,1,0
lg,Libby Greenhalgh,UK,1,2,2,1,0
ae,Abby Ehler,UK,1,2,2,1,0
alu,Annie Lush,UK,1,2,2,1,0
ejm,Elodie-Jane Mettraux,CH,4,2,2,1,0
lw,Liz Wardley,PG,4,2,2,1,0
sba,Sally Barkow,US,1,2,2,1,0
sj,Stacey Jackson,AUS,1,2,2,1,0
dc,Dee Caffari,UK,1,2,2,1,0
sh,Sara Hastreiter,US,1,2,2,1,0
ce,Charlie Enright,US,1,1,1,1,0
mt,Mark Towill,US,1,1,2,1,0
wo,Will Oxley,AUS,1,1,2,1,0
abo,Alberto Bolzan,IT,4,1,2,1,0
rh,Ryan Houston,NZ,1,1,2,1,0
ds,David Swete,NZ,1,1,2,1,0
cn,Chris Nicholson,AUS,1,1,1,1,0
ns,Nicolai Sehested,DNK,1,1,1,1,0
pwi,Peter Wibroe,DNK,1,1,2,1,0
tr,Tony Rae,NZ,1,1,2,1,0
st,Simeon Tienpont,NLD,1,1,2,1,0
ta,Tom Addis,AUS,1,1,2,1,0
rs,Robert Salthouse,NZ,1,1,2,1,0
tj,Tom Johnson,AUS,1,1,2,1,0
wv,Wouter Verbraak,NLD,1,1,2,1,0
mc,Maciel Cicchetti,ARG,3,1,2,1,0
bf,Brad Farrand,NZ,1,1,2,1,0
lm,Luke Molloy,AUS,1,1,2,1,0
mg,Martine Grael,BR,4,2,2,1,0
en,Emily Nagel,BM,1,2,2,1,0
rmo,Rosco Monson,UK,1,1,2,1,0
pvn,Peter van Niekerk,NLD,1,1,2,1,0
ape,Álex Pella,ESP,4,1,2,1,0
cl,Cécile Laguette,FRA,4,2,2,1,0
tro,Thomas Rouxel,NLD,1,1,2,1,0
dwi,David Witt,AUS,1,1,1,1,0
lp,Luke Parkinson,AUS,1,1,2,1,0
bp,Ben Piggott,AUS,1,1,2,1,0
sha,Steve Hayles,UK,1,1,2,1,0
jfi,John Fisher,UK,1,1,2,1,0
ag,Alex Gough,AUS,1,1,2,1,0
abe,Annemieke Bes,NLD,1,2,2,1,0
tc,Tom Clout,AUS,1,1,2,1,0
af,António Fontes,PT,4,1,2,1,0
gw,Grant Wharington,AUS,1,1,2,1,0
ts,Trystan Seal,UK,1,1,2,1,0
maj,Marcus Ashley Jones,AUS,1,1,2,1,0
tb,Tom Braidwood,AUS,1,1,2,1,0
pc,Peter Cumming,UK,1,1,2,1,0
jma,Jack Macartney,AUS,1,1,2,1,0
am,Annalise Murphy,IR,1,2,2,1,0
bmo,Bleddyn Mon,UK,1,1,2,1,0
fcl,Francesca Clapcich,IT,4,2,2,1,0
bfr,Bernardo Freitas,PT,4,1,2,1,0
hb,crew member,UK,1,1,2,1,0
lc,Lucas Chapman,AUS,1,1,2,1,0
fpdm,Frederico Pinheiro de Melo,PT,4,1,2,1,0
bc,Bianca Cook,NZ,1,2,2,1,0
ms,Martin Strömberg,SE,1,1,2,1,0
brth,Brian Thompson,UK,1,1,2,1,0
nl,Nicolas Lunven,FRA,4,1,2,1,0
df,Damian Foxall,IR,1,1,2,1,0
ph,Phil Harmer,AUS,1,1,2,1,0
tmu,Tony Mutter,NZ,1,1,2,1,0
jmh,Jena Mai Hansen,DNK,1,2,2,1,0
hd,Hannah Diamond,UK,1,2,2,1,0
rbdc,Roberto 'Chuny' Bermúdez de Castro,ESP,4,1,1,1,0
tg,Torben Grael,BR,4,1,1,1,0
hc,Horacio Carabelli,BR,4,1,2,1,0
jus,Jules Salter,UK,1,1,2,1,0
bj,Brad Jackson,AUS,1,1,2,1,0
de,David Endean,NZ,1,1,2,1,0
jsi,Joao Signorini,BR,4,1,2,1,0
rgo,Ryan Godfrey,AUS,1,1,2,1,0
pj,Phil Jameson,NZ,1,1,2,1,0
tjo,Thomas Johanson,FIN,1,1,2,1,0
mk,Martin Krite,SE,1,1,2,1,0
anl,Anders Lewander,SE,1,1,1,1,0
akm,Aksel Magdhal,NOR,1,1,2,1,0
rm,Richard Mason,NZ,1,1,2,1,0
eme,Elvind Melleby,NOR,1,1,2,1,0
smy,Stefan Myrälf,DNK,1,1,2,1,0
jn,Jann Neergaard,DNK,1,1,2,1,0
kn,Klas Nylof,SE,1,1,2,1,0
mo,Magnus Olsson,SE,1,1,1,1,0
ar,Arvé Roaas,NOR,1,1,2,1,0
ad,Anders Dahlsjö,SE,1,1,2,1,0
maw,Magnus Woxén,SE,1,1,2,1,0
shf,Shannon Falcone,UK,1,1,2,1,0
sg,Sidney Gavignet,FRA,4,1,2,1,0
jk,Jerry Kirby,US,1,1,2,1,0
jmc,Jonathan McKee,US,1,1,2,1,0
mm,Michael Müller,GER,3,1,2,1,0
rn,Robbie Naismith,NZ,1,1,2,1,0
kr,Ken Read,US,1,1,1,1,0
cas,Casey Smith,AUS,1,1,2,1,0
ew,Erle Williams,NZ,1,1,2,1,0
ib,Ian Budgen,UK,1,1,2,1,0
jc,James Carrol,IR,1,1,2,1,0
cm,Chris Main,NZ,1,1,2,1,0
nmcd,Neal McDonald,UK,1,1,2,1,0
amcl,Andrew McLean,NZ,1,1,2,1,0
ame,Anthony Merrington,AUS,1,1,2,1,0
scm,Scott Miller,UK,1,1,2,1,0
imo,Ian Moore,IR,1,1,2,1,0
jln,Jean-Luc Nélias,FRA,4,1,2,1,0
fs,Freddie Shanks,UK,1,1,2,1,0
gar,Gonzalo Araujo,ESP,4,1,2,1,0
ja,Jaime Arbones,ESP,4,1,2,1,0
fe,Fernando Echávarri,ESP,4,1,1,1,0
pi,Pablo Iglesias,ESP,4,1,2,1,0
sl,Santiago Lange,ARG,3,1,2,1,0
rni,Roger Nilson,SE,1,1,2,1,0
mp,Mike Pammenter,ZAF,1,1,2,1,0
jp,Javier de la Plaza,ESP,4,1,2,1,0
fr,Francisco Rivero,ESP,4,1,2,1,0
dv,David Vera,ESP,4,1,2,1,0
im,Iker Martinez,ESP,4,1,1,1,0
jsw,Jonathan Swain,ZAF,1,1,2,1,0
jca,Jordi Calafat,ESP,4,1,2,1,0
pr,Pepe Ribes,ESP,4,1,1,1,0
ga,Guillermo Altadill,ESP,4,1,2,1,0
afo,André Fonseca,BR,4,1,2,1,0
mag,Matthew Gregory,US,1,1,2,1,0
fk,Frits Koek,NLD,1,1,2,1,0
eo,Edwin O'Connor,IR,1,1,2,1,0
go,Ger O'Rourke,IR,1,1,1,1,0
dp,David Pella,ESP,4,1,2,1,0
gp,Gerd-Jan Poortman,NLD,1,1,2,1,0
evl,Eduard van Lierde,NLD,1,1,2,1,0
mwa,Martin Watts,UK,1,1,2,1,0
mw,Morgan White,AUS,1,1,2,1,0
stw,Stuart Wilson,NZ,1,1,2,1,0
nbu,Nick Bubb,UK,1,1,2,1,0
je,Jeremy Elliott,IR,1,1,2,1,0
bco,Ben Costello,AUS,1,1,2,1,0
ah,Andreas Hanakamp,AUT,3,1,1,1,0
mj,Michael Joubert,ZAF,1,1,2,1,0
rl,Rodion Luka,UKR,4,1,2,1,0
sw,Stig Westergaard,DNK,1,1,2,1,0
cw,Cameron Wills,ZAF,1,1,2,1,0
oz,Oleg Zherebtsov,RUS,4,1,2,1,0
bd,Benjamin Dutrex,FRA,4,1,1,1,0
rst,Robert Stanjek,GER,3,1,1,1,0
pk,Phillipp Kasüke,GER,3,1,2,1,0
acb,Anne-Claire le Berre,FRA,4,2,2,1,0
