id,sailor,position,nationality
iw,Ian Walker,skipper,UK
ak,Adil Khalid,crew man,ARE
al,Andrew Lewis,helmsman/trimmer,US
bam,Butti Al Muhairi,crew member,ARE
cs,Craig Satterthwaite,watch captain,NZ
jsa,Julian Salter,navigator,UK
jf,Justin Ferris,helmsman/sail trimmer,NZ
js,Justin Slattery,bowman,IR
nd,Nick Dana,media,US
pw,Paul Willcox,manager,ZAF
rg,Robert Greenhalgh,watch captain,UK
sf,Simon Fisher,navigator,UK
wm,Wade Morgan,bowman,NZ
bb,Bouwe Bekking,skipper,NLD
jd,Jens Dolmer,boat captain,DNK
ac,Andrew Cape,navigator,AUS
lb,Louis Balcaen,helmsman,BEL
pb,Peter Burling,helmsman/trimmer,NZ
kl,Kyle Langford,trimmer,AUS
jm,Juanpa Marcos,bowman,ARG
ch,Carlo Huisman,helmsman/watch captain/trimmer,NLD
rk,Rome Kirby,helmsman/trimmer,US
sn,Sam Newton,crew member,AUS
nc,Nina Curtis,crew member,AUS
cc,Charles Caudrelier,skipper,FRA
sb,Stu Bannatyne,crew member,NZ
cb,Carolijn Brouwer,crew member,NLD
jme,Justine Mettraux,headsail trimmer,CH
mr,Marie Riou,crew member,FRA
jb,Jérémie Beyou,watch captain,FRA
pbi,Pascal Bidégorry,navigator,FRA
cj,Chen Jinhao 'Horace',crew member,CHN
ke,Kevin Escoffier,bowman,FRA
dw,Daryl Wislang,watch captain,NZ
fd,Fabien Delahaye,pitman,FRA
fc,Franck Cammas,navigator,FRA
lx,Liu Xue 'Black',crew member,CHN
jbo,Jack Bouttell,bowman,AUS
xf,Xabi Fernandez,skipper,ESP
wa,Willy Altadill,trimmer/bowman,ESP
ls,Louis Sinclair,crew member,NZ
sc,Sophie Ciszek,crew member,AUS/US
pa,Pablo Arrarte,watch captain,ESP
bt,Blair Tuke,trimmer/helmsman,NZ
jv,Joan Vila,navigator,ESP
te,Támara Echegoyen,crew member,ESP
acu,Antonio 'Ñeti' Cuervas-Mons,bowman/boat captain,ESP
sd,Samantha Davies,skipper,UK
lg,Libby Greenhalgh,navigator,UK
ae,Abby Ehler,trimmer,UK
ale,Anna-Lena Elled,reserve onboard reporter,SE
alu,Annie Lush,trimmer/helmsman,UK
em,Elodie-Jane Mettraux,crew member ,FRA
lw,Liz Wardley,trimmer,PG/AUS
sba,Sally Barkow,crew member ,US
sj,Stacey Jackson,bowwoman,AUS
cha,Corinna Halloran,onboard reporter,US
dc,Dee Caffari,trimmer/helmsman,UK
sh,Sara Hastreiter,bowwoman,US
rm,Richard Mason,shore manager,NZ
ce,Charlie Enright,skipper,US
mt,Mark Towill,watch captain,US
wo,Will Oxley,navigator,AUS
abo,Alberto Bolzan,helmsmann/trimmer,IT
rh,Ryan Houston,trimmer/helmsman,NZ
ds,Dave Swete,watch captain/trimmer,NZ
ar,Amory Ross,onboard reporter,US
sm,Sebastian Marsset,reserve crew member,FRA
cn,Chris Nicholson,skipper,AUS
na,Nicolai Sehested,skipper,DNK
woi,Peter Wibroe,crew member,DNK
tr,Tony Rae,crew member,NZ
st ,Simeon Tienpont,crew member,NLD
ta,Tom Addis,navigator,AUS
rs,Robert Salthouse,crew member,NZ
tj ,Tom Johnson,bowman,AUS
wv ,Wouter Verbraak,navigator,NLD
ms ,Maciel Cicchetti,helmsman,ARG
bc ,Brian Carlin,onboard reporter,IR
