from,to
iw,adoct1415
iw,UK
ak,adoct1415
ak,ARE
al,adoct1415
al,US
bam,adoct1415
bam,ARE
cs,adoct1415
cs,NZ
jsa,adoct1415
jsa,UK
jf,adoct1415
jf,tan1718
jf,NZ
js,adoct1415
js,IR
nd,ta1415
nd,tvhr1718
nd,US
pw,adoct1415
pw,ZAF
rg,tm1415
rg,tm1718
rg,UK
sf,adoct1415
sf,tvhr1718
sf,UK
wm,adoct1415
wm,NZ
bb,tb1415
bb,tb1718
bb,NLD
jd,tb1415
jd,tb1718
jd,DNK
ac,tb1415
ac,tb1718
ac,AUS
lb,tb1415
lb,tb1718
lb,BEL
pb,tb1415
pb,tb1718
pb,NZ
kl,tb1415
kl,tb1718
kl,AUS
jm,tb1415
jm,tb1718
jm,ARG
ch,tb1415
ch,tb1718
ch,NLD
rk,tb1415
rk,tb1718
rk,US
sn,tb1415
sn,tb1718
sn,AUS
nc,tb1415
nc,tb1718
nc,AUS
cc,drt1415
cc,td1718
cc,FRA
sb,ta1415
sb,td1718
sb,NZ
cb,td1718
cb,tsca1415
cb,NLD
jme,td1718
jme,tsca1415
jme,CH
mr,drt1415
mr,td1718
mr,FRA
jb,drt1415
jb,td1718
jb,FRA
pbi,drt1415
pbi,td1718
pbi,FRA
cj,drt1415
cj,td1718
cj,CHN
ke,drt1415
ke,td1718
ke,FRA
dw,drt1415
dw,td1718
dw,NZ
fd,drt1415
fd,td1718
fd,FRA
fc,drt1415
fc,td1718
fc,FRA
lx,drt1415
lx,td1718
lx,CHN
jbo,drt1415
jbo,td1718
jbo,AUS
xf,tm1415
xf,tm1718
xf,ESP
wa,tm1415
wa,tm1718
wa,ESP
ls,tm1415
ls,tm1718
ls,NZ
sc,tsca1415
sc,tm1718
sc,US
sc,AUS
pa,tm1415
pa,tm1718
pa,ESP
bt,tm1415
bt,tm1718
bt,NZ
jv,tm1415
jv,tm1718
jv,ESP
te,tm1415
te,tm1718
te,ESP
ac,tm1415
acu,tm1718
acu,ESP
sd,tsca1415
sd,UK
lg,tsca1415
lg,tshks1718
lg,UK
ae,tsca1415
ae,tb1718
ae,UK
ale,tsca1415
ale,SE
alu,tsca1415
alu,tb1718
alu,UK
em,tsca1415
em,ttttop1718
em,FRA
lw,tsca1415
lw,ttttop1718
lw,PG
lw,AUS
sba,tsca1415
sba,tb1718
sba,US
sj,tsca1415
sj,tvhr1718
sj,AUS
cha,tsca1415
cha,US
dc,tsca1415
dc,ttttop1718
dc,UK
sh,tsca1415
sh,US
rm,tsca1415
rm,NZ
ce,ta1415
ce,tvhr1718
ce,US
mt,ta1415
mt,tvhr1718
mt,US
wo,ta1415
wo,AUS
abo,ta1415
abo,tb1718
abo,IT
rh,ta1415
rh,NZ
ds,ta1415
ds,NZ
ar,ta1415
ar,US
sm,ta1415
sm,FRA
cn,tvw1415
cn,tan1718
cn,AUS
na,tvw1415
na,tan1718
na,DNK
woi,tvw1415
woi,DNK
tr,tvw1415
tr,NZ
st ,tvw1415
st ,NLD
ta,tvw1415
ta,AUS
rs,tvw1415
rs,NZ
tj ,tvw1415
tj ,tvhr1718
tj ,AUS
wv ,tvw1415
wv ,NLD
ms ,tvw1415
ms ,tb1718
ms ,ARG
bc ,tvw1415
bc ,IR
sti,tan1718
sti,NLD
bf,tan1718
bf,NZ
lm,tan1718
lm,AUS
mg,tan1718
mg,BR
en,tan1718
en,BM
rmo,tan1718
rmo,US
pvn,tan1718
pvn,NLD
ap,tan1718
ap,ESP
cl,tan1718
cl,FRA
tro,tb1718
tro,NLD
dwi,tshks1718
dwi,AUS
lp,tshks1718
lp,AUS
bp,tshks1718
bp,AUS
sha,tshks1718
sha,UK
jfi,tshks1718
jfi,UK
ag,tshks1718
ag,AUS
abe,tshks1718
abe,NLD
tc,tshks1718
tc,AUS
af,tshks1718
af,PT
gw,tshks1718
gw,AUS
ts,tshks1718
ts,UK
maj,tshks1718
maj,AUS
tb,tshks1718
tb,AUS
pc,tshks1718
pc,UK
jma,tshks1718
jma,AUS
am,ttttop1718
am,IR
bm,ttttop1718
bm,UK
fcl,ttttop1718
fcl,IT
bfr,ttttop1718
bfr,PT
hb,ttttop1718
hb,UK
lc,ttttop1718
lc,AUS
fpdm,ttttop1718
fpdm,PT
bc,ttttop1718
bc,NZ
ms,ttttop1718
ms,SE
brth,ttttop1718
brth,UK
nl,ttttop1718
nl,FRA
df,tvhr1718
df,IR
ph,tvhr1718
ph,AUS
tmu,tvhr1718
tmu,NZ
jmh,tvhr1718
jmh,DNK
hd,tvhr1718
hd,UK
rbdc,tvhr1718
rbdc,ESP
