from,to
iw,adoct1415
iw,ador1112
iw,gd0809
iw,UK
ak,adoct1415
ak,ARE
al,ador1112
al,adoct1415
al,US
bam,adoct1415
bam,ARE
cs,adoct1415
cs,ador1112
cs,por0809
cs,NZ
jsa,ador1112
jsa,adoct1415
jsa,UK
jf,por1112
jf,adoct1415
jf,tan1718
jf,por0809
jf,NZ
js,adoct1415
js,ador1112
js,gd0809
js,IR
nd,ta1415
nd,tvhr1718
nd,US
rg,ador1112
rg,tm1415
rg,tm1718
rg,por0809
rg,UK
sf,ador1112
sf,adoct1415
sf,tvhr1718
sf,tblu0809
sf,11th2223
sf,UK
wm,ador1112
wm,adoct1415
wm,NZ
bb,tb1415
bb,tb1718
bb,tblu0809
bb,NLD
jd,tb1415
jd,tb1718
jd,e30809
jd,DNK
ac,t1112
ac,tb1415
ac,tb1718
ac,por0809
ac,AUS
lb,tb1415
lb,tb1718
lb,BEL
pb,tb1415
pb,tb1718
pb,NZ
kl,tb1415
kl,tb1718
kl,AUS
jm,tb1415
jm,tb1718
jm,ARG
ch,tb1415
ch,tb1718
ch,NLD
rk,tb1415
rk,tb1718
rk,US
sn,tb1415
sn,tb1718
sn,AUS
nc,tb1415
nc,tb1718
nc,AUS
cc,g41112
cc,drt1415
cc,td1718
cc,FRA
sb,td1718
sb,ta1415
sb,cwetnz1112
sb,e40809
sb,NZ
cb,td1718
cb,tsca1415
cb,NLD
jme,td1718
jme,tsca1415
jme,11th2223
jme,CH
mr,drt1415
mr,td1718
mr,br2223
mr,FRA
jb,drt1415
jb,td1718
jb,FRA
pbi,drt1415
pbi,td1718
pbi,FRA
cj,drt1415
cj,td1718
cj,CHN
ke,drt1415
ke,td1718
ke,hprb2223
ke,FRA
dw,cwetnz1112
dw,drt1415
dw,td1718
dw,tblu0809
dw,NZ
fd,drt1415
fd,td1718
fd,hprb2223
fd,FRA
fc,drt1415
fc,td1718
fc,g41112
fc,FRA
lx,drt1415
lx,td1718
lx,CHN
jbo,drt1415
jbo,td1718
jbo,11th2223
jbo,AUS
xf,t1112
xf,tm1415
xf,tm1718
xf,tblu0809
xf,ESP
wa,tm1415
wa,tm1718
wa,ESP
ls,tm1415
ls,tm1718
ls,NZ
sc,tsca1415
sc,tm1718
sc,US
sc,AUS
pa,t1112
pa,tm1415
pa,tm1718
pa,tblu0809
pa,ESP
bt,tm1415
bt,tm1718
bt,NZ
jv,tm1415
jv,tm1718
jv,ESP
te,tm1415
te,tm1718
te,ESP
acu,t1112
acu,tm1415
acu,tm1718
acu,tbla0809
acu,ESP
sd,tsca1415
sd,UK
lg,tsca1415
lg,tshks1718
lg,UK
ae,tsca1415
ae,tb1718
ae,hprb2223
ae,UK
alu,tsca1415
alu,tb1718
alu,11th2223
alu,UK
ejm,tsca1415
ejm,ttttop1718
ejm,FRA
lw,tsca1415
lw,ttttop1718
lw,AUS
sba,tsca1415
sba,tb1718
sba,US
sj,tsca1415
sj,tvhr1718
sj,AUS
dc,tsca1415
dc,ttttop1718
dc,UK
sh,tsca1415
sh,US
ce,ta1415
ce,tvhr1718
ce,11th2223
ce,US
mt,ta1415
mt,tvhr1718
mt,US
wo,cwetnz1112
wo,ta1415
wo,AUS
abo,tb1718
abo,IT
rh,ta1415
rh,ts1112
rh,dl0809
rh,NZ
ds,ta1415
ds,NZ
sm,g41112
sm,FRA
cn,cwetnz1112
cn,tvw1415
cn,tan1718
cn,por0809
cn,AUS
ns,tvw1415
ns,tan1718
ns,DNK
pwi,tvw1415
pwi,DNK
tr,cwetnz1112
tr,tvw1415
tr,NZ
st ,tvw1415
st ,NLD
ta,tvw1415
ta,por1112
ta,tblu0809
ta,AUS
rs,por0809
rs,cwetnz1112
rs,tvw1415
rs,NZ
tj ,tvw1415
tj ,tvhr1718
tj ,AUS
wv ,tvw1415
nav,tr0809
wv ,NLD
mc,tvw1415
mc,tb1718
mc,ARG
bf,tan1718
bf,NZ
lm,tan1718
lm,AUS
mg,tan1718
mg,BR
en,tan1718
en,BM
rmo,tan1718
rmo,US
pvn,tan1718
pvn,dl0809
pvn,NLD
ap,tan1718
ap,ESP
cl,tan1718
cl,FRA
tro,tb1718
tro,NLD
dwi,tshks1718
dwi,AUS
lp,tshks1718
lp,AUS
bp,tshks1718
bp,AUS
sha,tshks1718
sha,gd0809
sha,UK
jfi,tshks1718
jfi,UK
ag,tshks1718
ag,AUS
abe,tshks1718
abe,hprb2223
abe,NLD
tc,tshks1718
tc,AUS
af,tshks1718
af,PT
gw,tshks1718
gw,AUS
ts,tshks1718
ts,UK
maj,tshks1718
maj,AUS
tb,tshks1718
tb,gd0809
tb,AUS
pc,tshks1718
pc,UK
jma,tshks1718
jma,AUS
am,ttttop1718
am,IR
bm,ttttop1718
bm,UK
fcl,ttttop1718
fcl,11th2223
fcl,IT
bfr,ttttop1718
bfr,PT
hb,ttttop1718
hb,UK
lc,ttttop1718
lc,AUS
fpdm,ttttop1718
fpdm,PT
bc,ttttop1718
bc,NZ
ms,ttttop1718
ms,e30809
ms,g41112
ms,SE
brth,ttttop1718
brth,UK
nl,ttttop1718
nl,tm2223
nl,FRA
df,tvhr1718
df,gd0809
df,11th2223
df,IR
ph,tvhr1718
ph,gd0809
ph,adoct1415
ph,AUS
tmu,tvhr1718
tmu,por1112
tmu,e40809
tmu,NZ
jmh,tvhr1718
jmh,DNK
hd,tvhr1718
hd,UK
rbdc,tvhr1718
rbdc,cwetnz1112
rbdc,dl0809
rbdc,ESP
tg,e40809
tg,BR
hc,e40809
hc,BR
jus,e40809
jus,UK
bj,e40809
bj,por1112
bj,NZ
de,e40809
de,NZ
jsi,e40809
jsi,t1112
jsi,BR
rgo,e40809
rgo,por1112
rgo,AUS
pj,e40809
pj,NZ
tjo,e30809
tjo,FIN
mk,e30809
mk,g41112
mk,SE
anl,e30809
anl,SE
rm,e30809
rm,ts1112
rm,NZ
akm,e30809
akm,ts1112
akm,NOR
eme,e30809
eme,NOR
smy,e30809
smy,DNK
jn,e30809
jn,DNK
kn,e30809
kn,SE
mo,e30809
mo,SE
ar,e30809
ar,NOR
ad,e30809
ad,SE
maw,e30809
maw,SE
shf,por0809
shf,UK
sg,por0809
sg,FRA
jk,por0809
jk,US
jmc,por0809
jmc,US
mm,por0809
mm,por1112
mm,GER
rn,por0809
rn,NZ
kr,por0809
kr,por1112
kr,US
cas,por0809
cas,por1112
cas,AUS
ew,por0809
ew,NZ
ib,gd0809
ib,UK
jc,gd0809
jc,IR
cm,gd0809
cm,NZ
nmcd,gd0809
nmcd,t1112
nmcd,UK
amcl,gd0809
amcl,cwetnz1112
amcl,NZ
ame,gd0809
ame,AUS
scm,gd0809
scm,UK
imo,gd0809
imo,IR
jln,gd0809
jln,g41112
jln,FRA
fs,gd0809
fs,UK
gar,tbla0809
gar,ESP
ja,tbla0809
ja,ESP
fe,tbla0809
fe,ESP
pi,tbla0809
pi,ESP
sl,tbla0809
sl,ARG
rni,tbla0809
rni,SW
mp,tbla0809
mp,cwetnz1112
mp,ZAF
jp,tbla0809
jp,ESP
fr,tbla0809
fr,ESP
dv,tbla0809
dv,ESP
im,tblu0809
im,t1112
im,ESP
jsw,tblu0809
jsw,por1112
jsw,ZAF
jca,tblu0809
jca,t1112
jca,ESP
pr,tblu0809
pr,t1112
pr,ESP
ga,dl0809
ga,tr0809
ga,ESP
afo,dl0809
afo,BR
mag,dl0809
mag,US
fk,dl0809
fk,NLD
eo,dl0809
eo,IR
